label,mode,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio,armed_rate,added_rate,added_of_armed_rate,deadline_exit_rate,avg_base_net,avg_add_leg_net_when_added,add_win_rate_when_added
no_add_baseline,5m_conservative,1997,0.04269344302687331,4.278358146584736e-06,-0.9573065569731267,-0.9582842236180115,0.3905858788182273,0.6059638207188481,-0.0015408340038719505,0.006066663578380961,0.006416633604658534,0.945458935660049,-0.03892276407195153,0.06278539554259432,1015,982,1.0336048879837068,0.5082623935903856,0.49173760640961445,0.42167487684729066,0.35845213849287166,0.9364244090860926,0.9478340119248095,0.40861291937906863,0.0,0.0,0.5913870806209314,-0.0015408340038719505,,
no_add_baseline,5m_optimistic,2079,0.03924079269883833,3.074116801937272e-06,-0.9607592073011617,-0.9623002253708947,0.3848003848003848,0.5911011647938433,-0.0015222231342647346,0.005718587386316352,0.006051268025949542,0.9450229872141571,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.36656891495601174,0.939495977194836,0.9501761681296573,0.5468975468975469,0.0,0.0,0.4531024531024531,-0.0015222231342647346,,
no_add_baseline,1m_conservative,2042,0.03076235403166083,1.1839276600703848e-06,-0.9692376459683392,-0.96993056099888,0.37904015670910873,0.5647386042148472,-0.0016690618999983464,0.005713267338545186,0.00617531018914085,0.9251790053545559,-0.03892276407195153,0.06278539554259432,1038,1004,1.0338645418326693,0.5083251714005876,0.49167482859941236,0.3959537572254335,0.3615537848605578,0.9172540811294848,0.9321579273253204,0.5019588638589618,0.0,0.0,0.4980411361410382,-0.0016690618999983464,,
no_add_baseline,1m_optimistic,2079,0.03924079269883833,3.074116801937272e-06,-0.9607592073011617,-0.9623002253708947,0.3848003848003848,0.5911011647938433,-0.0015222231342647346,0.005718587386316352,0.006051268025949542,0.9450229872141571,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.36656891495601174,0.939495977194836,0.9501761681296573,0.5468975468975469,0.0,0.0,0.4531024531024531,-0.0015222231342647346,,
add0.25_cush0.1_chase0.5_lock,5m_conservative,1997,0.04256729204949598,4.229018324908689e-06,-0.9574327079505041,-0.9584074857770116,0.3895843765648473,0.6055915605798322,-0.0015423165522653523,0.006078628506180921,0.00640621750014985,0.9488638976180146,-0.03892276407195153,0.06278539554259432,1015,982,1.0336048879837068,0.5082623935903856,0.49173760640961445,0.42167487684729066,0.3564154786150713,0.9360745958971035,0.9553985606684684,0.40861291937906863,0.0030045067601402104,0.007352941176470588,0.5913870806209314,-0.0015408340038719505,-0.0019737660944155765,0.0
add0.25_cush0.1_chase0.5_lock,5m_optimistic,2079,0.03918845015475828,3.058074875172587e-06,-0.9608115498452418,-0.9623505123803971,0.38431938431938434,0.5909344502936981,-0.0015228656131566723,0.005724211784987183,0.006046627207779281,0.9466784685556114,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.3655913978494624,0.9392965074879919,0.953844177108232,0.5468975468975469,0.001443001443001443,0.002638522427440633,0.4531024531024531,-0.0015222231342647346,-0.001780951488451435,0.0
add0.25_cush0.1_chase0.5_lock,1m_conservative,2042,0.03067145714557275,1.1702741094269334e-06,-0.9693285428544273,-0.970019410453275,0.3780607247796278,0.5643680705094906,-0.0016705117771489944,0.005724409723711892,0.006165692406018762,0.9284293387915195,-0.03892276407195153,0.06278539554259432,1038,1004,1.0338645418326693,0.5083251714005876,0.49167482859941236,0.3959537572254335,0.3595617529880478,0.9168688658576015,0.9393769889001514,0.5019588638589618,0.002938295788442703,0.005853658536585366,0.4980411361410382,-0.0016690618999983464,-0.0019737660944155765,0.0
add0.25_cush0.1_chase0.5_lock,1m_optimistic,2079,0.03918845015475828,3.058074875172587e-06,-0.9608115498452418,-0.9623505123803971,0.38431938431938434,0.5909344502936981,-0.0015228656131566723,0.005724211784987183,0.006046627207779281,0.9466784685556114,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.3655913978494624,0.9392965074879919,0.953844177108232,0.5468975468975469,0.001443001443001443,0.002638522427440633,0.4531024531024531,-0.0015222231342647346,-0.001780951488451435,0.0
add0.25_cush0.1_chase0.5_nolock,5m_conservative,1997,0.040362058880545594,3.4330596212901687e-06,-0.9596379411194544,-0.9605622197882314,0.3885828743114672,0.6025282298163446,-0.001568750282951308,0.0061198569561041385,0.006455203368542649,0.9480502172754598,-0.03892276407195153,0.06278539554259432,1015,982,1.0336048879837068,0.5082623935903856,0.49173760640961445,0.4206896551724138,0.35539714867617106,0.937536268152287,0.9517306386112535,0.40861291937906863,0.07961942914371557,0.1948529411764706,0.5913870806209314,-0.0015408340038719505,-0.0014024857690937685,0.1509433962264151
add0.25_cush0.1_chase0.5_nolock,5m_optimistic,2079,0.03763500222267285,2.6097096355274755e-06,-0.9623649977773272,-0.9638241011206927,0.3838383838383838,0.5885951934239518,-0.0015422120868533284,0.005748347977351546,0.00608387245471866,0.9448501789173965,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.364613880742913,0.9372419275174099,0.9521670164628351,0.5468975468975469,0.05242905242905243,0.09586631486367635,0.4531024531024531,-0.0015222231342647346,-0.001525028713089424,0.13761467889908258
add0.25_cush0.1_chase0.5_nolock,1m_conservative,2042,0.029349924448351775,9.847177231138157e-07,-0.9706500755516482,-0.9712962161966927,0.37757100881488737,0.5619175321269523,-0.001691971620308664,0.005747925671889556,0.006205080048542203,0.9263257890186205,-0.03892276407195153,0.06278539554259432,1038,1004,1.0338645418326693,0.5083251714005876,0.49167482859941236,0.3959537572254335,0.35856573705179284,0.9144612743869976,0.9375121424640427,0.5019588638589618,0.058765915768854066,0.11707317073170732,0.4980411361410382,-0.0016690618999983464,-0.0015593882957889503,0.13333333333333333
add0.25_cush0.1_chase0.5_nolock,1m_optimistic,2079,0.03763500222267285,2.6097096355274755e-06,-0.9623649977773272,-0.9638241011206927,0.3838383838383838,0.5885951934239518,-0.0015422120868533284,0.005748347977351546,0.00608387245471866,0.9448501789173965,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.364613880742913,0.9372419275174099,0.9521670164628351,0.5468975468975469,0.05242905242905243,0.09586631486367635,0.4531024531024531,-0.0015222231342647346,-0.001525028713089424,0.13761467889908258
add0.25_cush0.1_chase1_lock,5m_conservative,1997,0.04148737433971361,3.8237915549746946e-06,-0.9585126256602864,-0.9594626737051408,0.38357536304456685,0.6024504701946376,-0.001555154272347272,0.00614402361928048,0.0063460318231083265,0.9681677921796331,-0.03892276407195153,0.06278539554259432,1015,982,1.0336048879837068,0.5082623935903856,0.49173760640961445,0.4147783251231527,0.3513238289205703,0.9576356345355045,0.9722941018374093,0.40861291937906863,0.037055583375062595,0.09068627450980392,0.5913870806209314,-0.0015408340038719505,-0.0015458149267684608,0.14864864864864866
add0.25_cush0.1_chase1_lock,5m_optimistic,2079,0.03864157271393793,2.894172188194511e-06,-0.961358427286062,-0.9628506062023121,0.37999037999038,0.5892175344058096,-0.0015295916408955299,0.005773865523981422,0.006005721323015616,0.9613941795558083,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.39867424242424243,0.36070381231671556,0.950914080252663,0.9720088117777242,0.5468975468975469,0.022607022607022607,0.04133685136323659,0.4531024531024531,-0.0015222231342647346,-0.0013037553434403068,0.19148936170212766
add0.25_cush0.1_chase1_lock,1m_conservative,2042,0.030089714676151142,1.0856482411730965e-06,-0.9699102853238488,-0.9705679993342428,0.3731635651322233,0.5620344349926599,-0.0016798666600465423,0.005776949042166369,0.006119002257770167,0.9440998383078802,-0.03892276407195153,0.06278539554259432,1038,1004,1.0338645418326693,0.5083251714005876,0.49167482859941236,0.3911368015414258,0.3545816733067729,0.931630821982604,0.9560684362749142,0.5019588638589618,0.02889324191968658,0.0575609756097561,0.4980411361410382,-0.0016690618999983464,-0.0014958183063333169,0.1694915254237288
add0.25_cush0.1_chase1_lock,1m_optimistic,2079,0.03864157271393793,2.894172188194511e-06,-0.961358427286062,-0.9628506062023121,0.37999037999038,0.5892175344058096,-0.0015295916408955299,0.005773865523981422,0.006005721323015616,0.9613941795558083,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.39867424242424243,0.36070381231671556,0.950914080252663,0.9720088117777242,0.5468975468975469,0.022607022607022607,0.04133685136323659,0.4531024531024531,-0.0015222231342647346,-0.0013037553434403068,0.19148936170212766
add0.25_cush0.1_chase1_nolock,5m_conservative,1997,0.037617339838545864,2.604912114012129e-06,-0.9623826601614541,-0.9632440856128118,0.3790686029043565,0.5965518784267179,-0.0016039199860194144,0.006256412920057037,0.006402526445616087,0.9771787704744123,-0.03892276407195153,0.06278539554259432,1015,982,1.0336048879837068,0.5082623935903856,0.49173760640961445,0.40788177339901477,0.34928716904276985,0.9780593764190245,0.968270091597884,0.40861291937906863,0.1657486229344016,0.4056372549019608,0.5913870806209314,-0.0015408340038719505,-0.00152244962354665,0.16314199395770393
